,now_temp,feels_like_temp,highest_temp,lowest_temp,w_condition,humidity,visibility,pressure,wind_speed,dew_point,uv_index,moon_phase,sunset_time,sunrise_time
0,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-01.57.28,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-01.57.47,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-01.58.05,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-01.58.24,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-01.58.42,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-01.59.01,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-01.59.20,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-01.59.38,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-01.59.56,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.00.15,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.00.34,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.00.52,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.01.11,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.01.29,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.01.48,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.02.07,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.02.25,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.02.44,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.03.02,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.03.21,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.03.39,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.03.58,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.04.17,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.04.35,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.04.54,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.05.13,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.05.31,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.05.50,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.06.08,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.06.27,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.06.45,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.07.04,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.0,13,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.07.23,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.07.41,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.08.00,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.08.18,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.08.37,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.08.56,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.09.14,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.09.33,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.09.52,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.10.10,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.10.29,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.10.48,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.11.06,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.11.25,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.11.43,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.12.02,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.12.20,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.12.39,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.12.57,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.13.16,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.13.35,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.13.53,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.14.12,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.14.30,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.14.50,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.15.08,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.15.27,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.15.45,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.16.04,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.16.23,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.16.41,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.17.00,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.17.19,-4°,-8°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.17.38,-4°,-7°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.17.56,-4°,-7°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.18.15,-4°,-7°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.18.34,-4°,-7°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.18.52,-4°,-7°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.19.12,-4°,-7°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.19.32,-4°,-7°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.19.50,-4°,-7°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.20.09,-4°,-7°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.20.27,-4°,-7°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.20.46,-4°,-7°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.21.04,-4°,-7°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.21.23,-4°,-7°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
2021-11-23-02.21.42,-4°,-7°,--,-6°,Переменная облачность,69%,11.2,1018.3,8,-9°,0,Убывающая луна,1970-01-01 00:00:00,1970-01-01 00:00:00
